GP;Eta;T;Tau
0,00007003;-2774;25,01;-0,1943
0,0001098;126,3;25,01;0,013880000000000002
0,0001634;1365;25,04;0,2231
0,0002278;1910;25,07;0,4351
0,0003138;2250;25,1;0,7062
0,0004361;2374;25,07;1,035
0,0006043;2447;25,01;1,4780000000000002
0,0008263;2525;24,92;2,086
0,001106;2662;24,73;2,943
0,001535;2672;24,88;4,102
0,002112;2662;24,98;5,622999999999999
0,002861;2670;25,0;7,638
0,003938;2635;25,0;10,38
0,005437;2580;25,0;14,03
0,007388;2561;25,0;18,92
0,01022;2471;25,0;25,25
0,01408;2350;25,0;33,09
0,01956;2150;25,0;42,05
0,02724;1876;25,0;51,11
0,03806;1533;25,0;58,36
0,05302;1159;25,0;61,44
0,07331;785,4;25,0;57,58
0,09978;498,8;25,0;49,77
0,1356;310,3;25,01;42,06
0,1843;200,4;25,01;36,93
0,2513;136,3;25,04;34,26
0,3433;94,57;25,07;32,47
0,4691;65,51;25,11;30,73
0,6408;46,75;25,1;29,96
0,8759;34,46;25,01;30,19
1,197;25,75;24,94;30,83
1,637;18,40;24,71;30,12
2,237;10,99;24,83;24,59
3,058;7,898;24,97;24,15
4,183;6,366;25,0;26,63
5,720;6,410;25,0;36,66
7,820;5,546;25,0;43,37
10,69;5,126;25,0;54,82
14,63;2,285;25,0;33,42
20,00;1,997;25,0;39,94
