G'';Tau;G';omega;T
1,452;0,01081;40,88;6,283;24,43
0,02333;0,01493;43,54;6,283;24,5
0,4427;0,02069;43,94;6,283;24,57
0,3013;0,02872;43,31;6,283;24,63
0,2495;0,039830000000000004;43,42;6,283;24,7
0,2652;0,055139999999999995;44,40;6,283;24,75
0,1634;0,07647000000000001;44,49;6,283;24,8
0,5166;0,1062;43,86;6,283;24,84
0,06998;0,1472;43,90;6,283;24,88
0,4080;0,204;44,46;6,283;24,9
0,5121;0,2832;43,88;6,283;24,92
0,3936;0,3922;44,72;6,283;24,94
0,6521;0,5437;44,99;6,283;24,95
0,6927;0,754;45,12;6,283;24,96
0,5436;1,046;45,16;6,283;24,97
0,5865;1,453;44,20;6,283;24,98
0,05658;2,011;45,27;6,283;24,99
0,5882;2,79;45,01;6,283;24,99
0,7355;3,8710000000000004;44,81;6,283;24,99
0,5330;5,3629999999999995;45,50;6,283;24,99
